1984/1984-11|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
1984/1984-333|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-333|Phospholipase A2 group IIA|CHEMBL3474|1.00
1984/1984-334|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-335|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-341|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-342|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-351|Interleukin-8 receptor A|CHEMBL4029|1.00
1984/1984-41|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
1984/1984-473|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1984/1984-478|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-479|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-480|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1984/1984-560|Cytochrome P450 17A1|CHEMBL3522|1.00
1984/1984-563|LXR-alpha|CHEMBL2808|1.00
1984/1984-569|Protein kinase C alpha|CHEMBL299|1.00
1984/1984-569|Protein kinase C, PKC; classical/novel|CHEMBL2096620|1.00
1984/1984-570|Protein kinase C alpha|CHEMBL299|1.00
1984/1984-570|Protein kinase C, PKC; classical/novel|CHEMBL2096620|1.00
1984/1984-571|Protein kinase C alpha|CHEMBL299|1.00
1984/1984-571|Protein kinase C, PKC; classical/novel|CHEMBL2096620|1.00
1984/1984-572|Protein kinase C alpha|CHEMBL299|1.00
1984/1984-572|Protein kinase C, PKC; classical/novel|CHEMBL2096620|1.00
1984/1984-695|Transient receptor potential cation channel subfamily A member 1|CHEMBL6007|1.00
1984/1984-722|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1984/1984-726|Cytochrome P450 17A1|CHEMBL3522|1.00
1984/1984-72|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-73|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-781|Epoxide hydrolase 1|CHEMBL1968|1.00
1984/1984-781|Epoxide hydratase|CHEMBL2409|1.00
1984/1984-861|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1984/1984-861|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
1986/1986-123|Beta-secretase 1|CHEMBL4822|1.00
1986/1986-124|Beta-secretase 1|CHEMBL4822|1.00
1986/1986-235|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1986/1986-236|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1986/1986-24|Protein kinase C theta|CHEMBL3920|1.00
1986/1986-24|Protein kinase C eta|CHEMBL3616|1.00
1986/1986-24|Protein kinase C epsilon|CHEMBL3582|1.00
1986/1986-24|Protein kinase C beta|CHEMBL3045|1.00
1986/1986-24|Protein kinase C delta|CHEMBL2996|1.00
1986/1986-24|Protein kinase C alpha|CHEMBL299|1.00
1986/1986-24|Protein kinase C gamma|CHEMBL2938|1.00
1986/1986-255|Protein farnesyltransferase|CHEMBL2094108|1.00
1986/1986-255|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1986/1986-256|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1986/1986-256|Protein farnesyltransferase|CHEMBL2094108|1.00
1986/1986-258|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1986/1986-258|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1986/1986-259|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1986/1986-259|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1986/1986-25|Protein kinase C theta|CHEMBL3920|1.00
1986/1986-25|Protein kinase C eta|CHEMBL3616|1.00
1986/1986-25|Protein kinase C epsilon|CHEMBL3582|1.00
1986/1986-25|Protein kinase C beta|CHEMBL3045|1.00
1986/1986-25|Protein kinase C delta|CHEMBL2996|1.00
1986/1986-25|Protein kinase C alpha|CHEMBL299|1.00
1986/1986-25|Protein kinase C gamma|CHEMBL2938|1.00
1986/1986-260|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1986/1986-260|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1986/1986-316|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1986/1986-316|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1986/1986-317|Phospholipase A2 group IIA|CHEMBL3474|1.00
1986/1986-320A|DNA polymerase kappa|CHEMBL5365|1.00
1986/1986-320A|Phospholipase A2 group 1B|CHEMBL4426|1.00
1986/1986-320A|Phospholipase A2 group IIA|CHEMBL3474|1.00
1986/1986-320B|DNA polymerase kappa|CHEMBL5365|1.00
1986/1986-320B|Phospholipase A2 group 1B|CHEMBL4426|1.00
1986/1986-320B|Phospholipase A2 group IIA|CHEMBL3474|1.00
1986/1986-361A|Geranylgeranyl transferase type I|CHEMBL2095164|1.00
1986/1986-361A|Protein farnesyltransferase|CHEMBL2094108|1.00
1986/1986-375A|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1986/1986-375B|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1986/1986-409|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
1986/1986-409|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
1986/1986-409|3-beta-hydroxysteroid-delta(8),delta(7)-isomerase|CHEMBL4931|1.00
1986/1986-409|Sigma opioid receptor|CHEMBL287|1.00
1986/1986-411|Aldo-keto reductase family 1 member B10|CHEMBL5983|1.00
1986/1986-411|11-beta-hydroxysteroid dehydrogenase 1|CHEMBL4235|1.00
1986/1986-411|Protein-tyrosine phosphatase 2C|CHEMBL3864|1.00
1986/1986-411|11-beta-hydroxysteroid dehydrogenase 2|CHEMBL3746|1.00
1986/1986-411|Protein kinase C eta|CHEMBL3616|1.00
1986/1986-411|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
1986/1986-411|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
1986/1986-411|Acyl coenzyme A|CHEMBL2265|1.00
1986/1986-411|Carboxylesterase 2|CHEMBL3180|1.00
1986/1986-411|Estradiol 17-beta-dehydrogenase 2|CHEMBL2789|1.00
1986/1986-412|11-beta-hydroxysteroid dehydrogenase 1|CHEMBL4235|1.00
1986/1986-412|11-beta-hydroxysteroid dehydrogenase 2|CHEMBL3746|1.00
1986/1986-412|Estradiol 17-beta-dehydrogenase 2|CHEMBL2789|1.00
1986/1986-412|Carboxylesterase 2|CHEMBL3180|1.00
1986/1986-412|Aldo-keto reductase family 1 member B10|CHEMBL5983|1.00
1986/1986-412|Protein-tyrosine phosphatase 2C|CHEMBL3864|1.00
1986/1986-412|Protein kinase C eta|CHEMBL3616|1.00
1986/1986-412|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
1986/1986-412|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
1986/1986-413|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1986/1986-413|11-beta-hydroxysteroid dehydrogenase 1|CHEMBL4235|1.00
1986/1986-413|11-beta-hydroxysteroid dehydrogenase 2|CHEMBL3746|1.00
1986/1986-413|Estradiol 17-beta-dehydrogenase 2|CHEMBL2789|1.00
1986/1986-413|Carboxylesterase 2|CHEMBL3180|1.00
1986/1986-416|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1986/1986-438|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1987/1987-119|DNA topoisomerase I|CHEMBL1781|1.00
1987/1987-120|DNA topoisomerase I|CHEMBL1781|1.00
1987/1987-121|DNA topoisomerase I|CHEMBL1781|1.00
1987/1987-126|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1987/1987-226|DNA polymerase kappa|CHEMBL5365|1.00
1987/1987-226|Phospholipase A2 group 1B|CHEMBL4426|1.00
1987/1987-226|Phospholipase A2 group IIA|CHEMBL3474|1.00
1987/1987-227|DNA polymerase kappa|CHEMBL5365|1.00
1987/1987-227|Phospholipase A2 group 1B|CHEMBL4426|1.00
1987/1987-227|Phospholipase A2 group IIA|CHEMBL3474|1.00
1987/1987-228|DNA polymerase kappa|CHEMBL5365|1.00
1987/1987-228|Phospholipase A2 group 1B|CHEMBL4426|1.00
1987/1987-228|Phospholipase A2 group IIA|CHEMBL3474|1.00
1987/1987-229|DNA polymerase kappa|CHEMBL5365|1.00
1987/1987-229|Phospholipase A2 group 1B|CHEMBL4426|1.00
1987/1987-229|Phospholipase A2 group IIA|CHEMBL3474|1.00
1987/1987-237|Interleukin-8 receptor A|CHEMBL4029|1.00
1987/1987-301|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1987/1987-302|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1987/1987-303|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1987/1987-346|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1987/1987-349|Transient receptor potential cation channel subfamily A member 1|CHEMBL6007|1.00
1988/1988-183|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1988/1988-196|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1988/1988-200|Methionine aminopeptidase 1|CHEMBL2474|1.00
1988/1988-201|Methionine aminopeptidase 1|CHEMBL2474|1.00
1988/1988-229|UDP-glucose 4-epimerase|CHEMBL5843|1.00
1988/1988-229|Histone deacetylase 1|CHEMBL325|1.00
1988/1988-229|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
1988/1988-229|Histone deacetylase|CHEMBL2093865|1.00
1988/1988-229|DNA (cytosine-5)-methyltransferase 1|CHEMBL1993|1.00
1988/1988-229|Histone deacetylase 6|CHEMBL1865|1.00
1988/1988-230|UDP-glucose 4-epimerase|CHEMBL5843|1.00
1988/1988-230|Histone deacetylase 1|CHEMBL325|1.00
1988/1988-230|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
1988/1988-230|Histone deacetylase|CHEMBL2093865|1.00
1988/1988-230|DNA (cytosine-5)-methyltransferase 1|CHEMBL1993|1.00
1988/1988-230|Histone deacetylase 6|CHEMBL1865|1.00
1988/1988-236|Cyclooxygenase-2|CHEMBL230|1.00
1988/1988-247|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1988/1988-247|Cholesteryl ester transfer protein|CHEMBL3572|1.00
1988/1988-247|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1988/1988-247|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1988/1988-247|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1988/1988-250|Cytochrome P450 3A4|CHEMBL340|1.00
1988/1988-356|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1988/1988-357|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1988/1988-358|DNA polymerase kappa|CHEMBL5365|1.00
1988/1988-358|Phospholipase A2 group 1B|CHEMBL4426|1.00
1988/1988-358|Phospholipase A2 group IIA|CHEMBL3474|1.00
1988/1988-359|DNA polymerase kappa|CHEMBL5365|1.00
1988/1988-359|Phospholipase A2 group 1B|CHEMBL4426|1.00
1988/1988-359|Phospholipase A2 group IIA|CHEMBL3474|1.00
1988/1988-360|DNA polymerase kappa|CHEMBL5365|1.00
1988/1988-360|Phospholipase A2 group 1B|CHEMBL4426|1.00
1988/1988-360|Phospholipase A2 group IIA|CHEMBL3474|1.00
1988/1988-361|DNA polymerase kappa|CHEMBL5365|1.00
1988/1988-361|Phospholipase A2 group 1B|CHEMBL4426|1.00
1988/1988-361|Phospholipase A2 group IIA|CHEMBL3474|1.00
1988/1988-374|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1988/1988-374|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1988/1988-375|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1988/1988-375|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1988/1988-383|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1988/1988-526|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1988/1988-527|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1988/1988-532|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
1988/1988-563|Protein kinase C alpha|CHEMBL299|1.00
1988/1988-572|Protein kinase C theta|CHEMBL3920|1.00
1988/1988-572|Protein kinase C eta|CHEMBL3616|1.00
1988/1988-572|Protein kinase C epsilon|CHEMBL3582|1.00
1988/1988-572|Protein kinase C beta|CHEMBL3045|1.00
1988/1988-572|Protein kinase C delta|CHEMBL2996|1.00
1988/1988-572|Protein kinase C alpha|CHEMBL299|1.00
1988/1988-572|Protein kinase C gamma|CHEMBL2938|1.00
1988/1988-587|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1988/1988-587|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
1988/1988-595|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1988/1988-613|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1988/1988-614|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1988/1988-79|Bile acid receptor FXR|CHEMBL2047|1.00
1989/1989-0|Monoamine oxidase B|CHEMBL2039|1.00
1989/1989-0|Monoamine oxidase A|CHEMBL1951|1.00
1989/1989-155|DNA topoisomerase I|CHEMBL1781|1.00
1989/1989-165|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1989/1989-166|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1989/1989-167|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1989/1989-168|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1989/1989-170|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1989/1989-171|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1989/1989-181|Histamine H1 receptor|CHEMBL231|1.00
1989/1989-207|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1989/1989-215|Methionine aminopeptidase 1|CHEMBL2474|1.00
1989/1989-216|Methionine aminopeptidase 1|CHEMBL2474|1.00
1989/1989-262|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1989/1989-263|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
1989/1989-263|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1989/1989-263|Hepatocyte growth factor receptor|CHEMBL3717|1.00
1989/1989-263|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1989/1989-263|Focal adhesion kinase 1|CHEMBL2695|1.00
1989/1989-263|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1989/1989-263|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
1989/1989-274|Protein farnesyltransferase|CHEMBL2094108|1.00
1989/1989-274|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1989/1989-314|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
1989/1989-314|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1989/1989-315|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
1989/1989-315|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
1989/1989-318|Bile acid receptor FXR|CHEMBL2047|1.00
1989/1989-456|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1989/1989-456|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1989/1989-456|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1989/1989-456|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1989/1989-490|Protein kinase C theta|CHEMBL3920|1.00
1989/1989-490|Protein kinase C eta|CHEMBL3616|1.00
1989/1989-490|Protein kinase C epsilon|CHEMBL3582|1.00
1989/1989-490|Protein kinase C beta|CHEMBL3045|1.00
1989/1989-490|Protein kinase C delta|CHEMBL2996|1.00
1989/1989-490|Protein kinase C alpha|CHEMBL299|1.00
1989/1989-490|Protein kinase C gamma|CHEMBL2938|1.00
1989/1989-491|Protein kinase C theta|CHEMBL3920|1.00
1989/1989-491|Protein kinase C eta|CHEMBL3616|1.00
1989/1989-491|Protein kinase C epsilon|CHEMBL3582|1.00
1989/1989-491|Protein kinase C beta|CHEMBL3045|1.00
1989/1989-491|Protein kinase C delta|CHEMBL2996|1.00
1989/1989-491|Protein kinase C alpha|CHEMBL299|1.00
1989/1989-491|Protein kinase C gamma|CHEMBL2938|1.00
1989/1989-492|Tubulin|CHEMBL2095182|1.00
1989/1989-555|DNA topoisomerase II alpha|CHEMBL1806|1.00
1989/1989-556|DNA topoisomerase II alpha|CHEMBL1806|1.00
1989/1989-565|DNA topoisomerase II alpha|CHEMBL1806|1.00
1989/1989-61|Squalene monooxygenase|CHEMBL3592|1.00
1990/1990-191|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1990/1990-191|Protein farnesyltransferase|CHEMBL2094108|1.00
1990/1990-192|Protein farnesyltransferase|CHEMBL2094108|1.00
1990/1990-192|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1990/1990-195|Dual specificity phosphatase Cdc25B|CHEMBL4804|1.00
1990/1990-195|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1990/1990-195|Protein farnesyltransferase|CHEMBL2094108|1.00
1990/1990-197|Protein farnesyltransferase|CHEMBL2094108|1.00
1990/1990-197|Dual specificity phosphatase Cdc25B|CHEMBL4804|1.00
1990/1990-197|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1990/1990-270|Glycine receptor subunit alpha-1|CHEMBL5845|1.00
1990/1990-270|Glycine receptor subunit alpha-3|CHEMBL1075092|1.00
1990/1990-277|DNA polymerase kappa|CHEMBL5365|1.00
1990/1990-277|Phospholipase A2 group 1B|CHEMBL4426|1.00
1990/1990-277|Phospholipase A2 group IIA|CHEMBL3474|1.00
1990/1990-279|Phospholipase A2 group IIA|CHEMBL3474|1.00
1990/1990-280|DNA polymerase kappa|CHEMBL5365|1.00
1990/1990-280|Phospholipase A2 group 1B|CHEMBL4426|1.00
1990/1990-280|Phospholipase A2 group IIA|CHEMBL3474|1.00
1990/1990-284|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
1990/1990-285|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1990/1990-285|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
1990/1990-287|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
1990/1990-306|Prostaglandin E synthase|CHEMBL5658|1.00
1990/1990-309|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1990/1990-313|Protein kinase C alpha|CHEMBL299|1.00
1990/1990-313|Protein kinase C, PKC; classical/novel|CHEMBL2096620|1.00
1990/1990-314|Protein kinase C alpha|CHEMBL299|1.00
1990/1990-314|Protein kinase C, PKC; classical/novel|CHEMBL2096620|1.00
1990/1990-486|DNA topoisomerase II alpha|CHEMBL1806|1.00
1990/1990-487|DNA topoisomerase II alpha|CHEMBL1806|1.00
1990/1990-527|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1991/1991-15|Platelet activating factor receptor|CHEMBL250|1.00
1991/1991-181|Carbonic anhydrase IV|CHEMBL3729|1.00
1991/1991-181|Carbonic anhydrase VI|CHEMBL3025|1.00
1991/1991-181|Carbonic anhydrase II|CHEMBL205|1.00
1991/1991-243|Methionine aminopeptidase 1|CHEMBL2474|1.00
1991/1991-290|Histone deacetylase 1|CHEMBL325|1.00
1991/1991-291|Histone deacetylase 1|CHEMBL325|1.00
1991/1991-292|Carbonic anhydrase VA|CHEMBL4789|1.00
1991/1991-292|Carbonic anhydrase IV|CHEMBL3729|1.00
1991/1991-292|Carbonic anhydrase IX|CHEMBL3594|1.00
1991/1991-292|Carbonic anhydrase XIV|CHEMBL3510|1.00
1991/1991-292|Carbonic anhydrase XII|CHEMBL3242|1.00
1991/1991-292|Carbonic anhydrase VI|CHEMBL3025|1.00
1991/1991-292|Carbonic anhydrase I|CHEMBL261|1.00
1991/1991-292|Carbonic anhydrase VII|CHEMBL2326|1.00
1991/1991-292|Carbonic anhydrase II|CHEMBL205|1.00
1991/1991-293|Histone deacetylase|CHEMBL2093865|1.00
1991/1991-355|Cyclooxygenase-2|CHEMBL230|1.00
1991/1991-372|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1991/1991-372|Protein farnesyltransferase|CHEMBL2094108|1.00
1991/1991-437-a|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1991/1991-437-b|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1991/1991-438-a|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1991/1991-438-b|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
1991/1991-442|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
1991/1991-444|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
1991/1991-444|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1991/1991-572|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1991/1991-572|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1991/1991-572|Focal adhesion kinase 1|CHEMBL2695|1.00
1991/1991-572|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1991/1991-572|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1991/1991-573|ALK tyrosine kinase receptor|CHEMBL4247|1.00
1991/1991-573|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
1991/1991-573|Tyrosine-protein kinase SRC|CHEMBL267|1.00
1991/1991-573|Insulin-like growth factor I receptor|CHEMBL1957|1.00
1991/1991-579|LXR-alpha|CHEMBL2808|1.00
1991/1991-585|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
1991/1991-5|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
1992/1992-151|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1992/1992-153|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
1992/1992-169|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-170|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
1992/1992-171|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
